كفايات الصف الأول- الرابع الأساسي 2026-2027
كفايات الصف الأول الأساسي 2026-2027
[TABLE 1]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | يتقن | يطور | يحاول | يحاول | القيم
الأعداد حتى 99 | ممارسة التفكير الكمي والتجريدي | بناء المعنى الكمي للعدد | يعدّ الأشياء | يعد مجموعة عناصر حتى 99 | يعد عناصر أي مجموعة ضمن 99 بشكل دقيق وسريع ومستقل | يعد عناصر المجموعة حتى 99 لكنه يخطئ بالعد في حالات الانتقال لعشرات جديدة (التالي والسابق لها) / مثل 79، 80، 81 | يعد دون دقة وبعشوائية خاصة خلال عد المجموعات التي عدد عناصرها أكبر من 20 / وقد يتمكن من العد دون ال 20 | يعد دون دقة وبعشوائية خاصة خلال عد المجموعات التي عدد عناصرها أكبر من 20 / وقد يتمكن من العد دون ال 20 | الدقة ، الترتيب والنظام ، حب العلم، حب الاستكشاف، الاحترام، الثقة بالنفس
الأعداد حتى 99 | ممارسة التفكير الكمي والتجريدي | بناء المعنى الكمي للعدد | يفسر البنية العددية بالاعتماد على العدد 1 | يفسر البنية العددية بالاعتماد على العدد 1 / ( بناء الأعداد بالتتالي من حجر الأساس العدد 1) | يفسر الأعداد بتوظيف مفهوم أن العدد 1 هو نقطة الانطلاق الأساسية التي تُبنى منها وبها كل الأعداد الطبيعية التالية عبر إضافة واحد في كل خطوة بشكل مستقل. | يفسر الأعداد بتوظيفمفهوم أن العدد 1 هو نقطة الانطلاق الأساسية التي تُبنى منها وبها كل الأعداد الطبيعية التالية عبر إضافة واحد في كل خطوة ويحتاج لدعم بسيط عند الانتقال للتطبيق الذهني. | يكتفي بحفظ الأعداد وترديدها بشكل آلي، دون إدراك أن العدد 1 هو أصل السلسلة وأن كل عدد جديد ينتج عن إضافة واحد. | يكتفي بحفظ الأعداد وترديدها بشكل آلي، دون إدراك أن العدد 1 هو أصل السلسلة وأن كل عدد جديد ينتج عن إضافة واحد. | 
الأعداد حتى 99 | ممارسة التفكير الكمي والتجريدي | بناء المعنى الكمي للعدد | يربط بين العدد والكمية | يربط بين العدد والكمية الممثلة له. | يربط بين أي عدد ضمن 99 والكمية التي يمثلها (أو العكس) بشكل دقيق وبطلاقة وبجميع حالات تمثيل المجموعة التي يمكن أن تكون كل 10 عناصر منها برابط واحد | يربط بين العدد والكمية بشكل صحيح في الأعداد الصغيرة، ولكنه يتردد أو يخطئ عند التعامل مع بعض الأعداد خاصة في حالات تمثيل المجموعة التي يمكن أن تكون كل 10 عناصر منها برابط واحد | يواجه صعوبة في مطابقة العدد بالكمية المناسبة له، ويحتاج إلى توجيه مستمر ومساعدة مباشرة خاصة في المجموعات الأكبر (من 20). | يواجه صعوبة في مطابقة العدد بالكمية المناسبة له، ويحتاج إلى توجيه مستمر ومساعدة مباشرة خاصة في المجموعات الأكبر (من 20). | 
الأعداد حتى 99 | ممارسة التفكير الكمي والتجريدي | بناء المعنى الكمي للعدد | يمثل الأعداد بالمحسوسات | يمثل الأعداد ضمن 99 بالمحسوسات( الأجسام الحسابية، العيدان،......). | يمثل أي عدد يسمعه ضمن 99 بالعناصر المحسوسة وبطلاقة ودون أي خطأ يُذكر ويقدم تفسيرا لما مثله بطلاقة | يمثل العدد الذي يسمعه ضمن 99 بالعناصر المحسوسة لكنه يفقد المثابرة في تمثيل العدد الأكبر من 50 مثلا ويجد صعوبة في تقديم تفسيرا واضحا لخطوات تمثيله. | يمثل العدد الذي يسمعه دون دقة وبعشوائية خاصة خلال تمثيل المجموعات التي عدد عناصرها أكبر من 20 | يمثل العدد الذي يسمعه دون دقة وبعشوائية خاصة خلال تمثيل المجموعات التي عدد عناصرها أكبر من 20 | 
الأعداد حتى 99 | ممارسة التفكير الكمي والتجريدي | التعبير عن القيم العددية | يقرأ الأعداد | يقرأ الأعداد ضمن 99. | يقرأ أي عدد يُعرض أمامه حتى 99 بشكل صحيح وبطلاقة دون الحاجة لتلميح أو مساعدة. | يقرأ الأعداد ولكنه يخطئ أحياناً في اتجاه القراءة (قلب العدد 42 ليقرأه 24). | يخفق في قراءة الأعداد المكونة من منزلتين بمفرده، ويحتاج إلى إرشاد باستمرار وأحيانا يخطئ في الأعداد ذات الصور المتقاربة مثل 2 و6، 7 و 8 أو قلب قراءة الأعداد المكونة من منزلتين بحيث يقرأ الآحاد عشرات والعشرات آحاد(مثل: 42 يقرأه 24 أو 16 يقرأه 61) . | يخفق في قراءة الأعداد المكونة من منزلتين بمفرده، ويحتاج إلى إرشاد باستمرار وأحيانا يخطئ في الأعداد ذات الصور المتقاربة مثل 2 و6، 7 و 8 أو قلب قراءة الأعداد المكونة من منزلتين بحيث يقرأ الآحاد عشرات والعشرات آحاد(مثل: 42 يقرأه 24 أو 16 يقرأه 61) . | الامانة، الاحترام، التنظيم والدقة، الثقة في التعبير، تقدير النظام، المسؤولية، الاصرار والمرونة
الأعداد حتى 99 | ممارسة التفكير الكمي والتجريدي | التعبير عن القيم العددية | يكتب الأعداد | يكتب الأعداد ضمن 99. | يكتب أي عدد يُملى عليه حتى 99 بشكل صحيح، مراعياً الاتجاه الصحيح لكتابة الأعداد وموقع منزلة الآحاد والعشرات بدقة وبشكل مستقل. | يكتب الأعداد ولكنه يقع في أخطاء (ككتابة أرقامه معكوسة الاتجاه) أو يقلب المنزلتين عند الكتابة الغيبية (يكتب 35 عندما يُملى عليه 53). | يواجه صعوبة في كتابة عدد يُملى عليه ويحتاج إلى النقل المباشر أو يخطئ في الأعداد ذات الصور المتقاربة مثل 2 و6 ، 7 و 8) أو الأعداد مثل 11 و 12 أو قلب اتجاه بعض الأعداد مثل كتابة العدد 4 بشكل مقلوب 3 أو يقلب المنزلتين عند الكتابة الغيبية (يكتب 35 عندما يُملى عليه 53). | يواجه صعوبة في كتابة عدد يُملى عليه ويحتاج إلى النقل المباشر أو يخطئ في الأعداد ذات الصور المتقاربة مثل 2 و6 ، 7 و 8) أو الأعداد مثل 11 و 12 أو قلب اتجاه بعض الأعداد مثل كتابة العدد 4 بشكل مقلوب 3 أو يقلب المنزلتين عند الكتابة الغيبية (يكتب 35 عندما يُملى عليه 53). | 
الأعداد حتى 99 | ممارسة التفكير الكمي والتجريدي | التعبير عن القيم العددية | يمثل الأعداد بصور متعددة | يمثل الأعداد ضمن 99 باستخدام ( المعداد، لوحة المنازل، الأجسام الحسابية، العيدان....). | يُمثّل العدد بأشكال ورسومات توضيحية متنوعة (كالتمثيل على لوحة المنازل، أو الأجسام الحسابية أو المعداد أو عيدان العد والحزم أو القطع النقدية أو الخرز، أو خط الأعداد) للأعدادحتى 99 وبشكل صحيح. | يمثل العدد ولكنه يقع في أخطاء أو يحتاج لتوجيه في التمثيلات المجردة مثل التمثيل على خط الأعداد أو التمثيل بالمحسوس للأعداد التي تتطلب إعداد حزم العيدان وتشكيل العشرات في الأجسام الحسابية لتمثيلها. | يمكنه التمثيل بالمحسوس خاصة للأعداد الأقل من 10، لكنه يحتاج إلى نموذجا ليقوم بتقليده في تمثيل الأعداد الأخرى، أو يقلب التمثيل لعدد من منزلتين كأن يخلط بين تمثيل الأعداد 35 و 53. | يمكنه التمثيل بالمحسوس خاصة للأعداد الأقل من 10، لكنه يحتاج إلى نموذجا ليقوم بتقليده في تمثيل الأعداد الأخرى، أو يقلب التمثيل لعدد من منزلتين كأن يخلط بين تمثيل الأعداد 35 و 53. | 
الأعداد حتى 99 | ممارسة التفكير الكمي والتجريدي | تفسير بنية الأعداد | يحلل العدد إلى عشرات وآحاد | يحلل الأعداد ضمن 99 الى آحاد وعشرات. | يحلل أي عدد ضمن 99 إلى الآحاد والعشرات على لوحة المنازل أو بشكل مجرد بالشكل صحيح. | يحلل العدد ضمن 99 إلى الآحاد والعشرات بالاستعانة بلوحة المنازل ويطور قدراته باستمرار في مهارة التحليل المجرد. | يواجه صعوبة في استيعاب وتفريق منزلة الآحاد عن العشرات ، ويخلط في تمثيل الأعداد (فيضع رقم العشرات في خانة الآحاد أو العكس). | يواجه صعوبة في استيعاب وتفريق منزلة الآحاد عن العشرات ، ويخلط في تمثيل الأعداد (فيضع رقم العشرات في خانة الآحاد أو العكس). | حب الاستكشاف، التفطير المنطقي،الدقة، المثابرة والصبر، الالتزام، تذوق الجمال والتناسق والنظام والترتيب، التأمل في ابداع الخالق
الأعداد حتى 99 | ممارسة التفكير الكمي والتجريدي | تفسير بنية الأعداد | يحدد قيمة الرقم حسب موقعه | يحدد القيمة المنزلية لأرقام عدد ضمن 99. | يحدد القيمة المنزلية لأي رقم في العدد حتى 99 بشكل صحيح وبطلاقة ويمكنه التمثيل على ذلك من بيئته وربطه في التمثيلات المختلفة له (العيدان، المعداد،..). | يحدد قيمة الرقم، ولكنه يخلط أحياناً بين القيمة المنزلية واسم المنزلة (مثلاً يكتب "عشرات" بدلاً من "30") أو يتردد عند تحديد قيمة الرقم صفر. | يواجه صعوبة في إدراك أن قيمة الرقم تتغير بتغير مكانه، ويحتاج لدعم مباشر ونموذجا محلولا ليحاكيه لتحديد أي قيمة. | يواجه صعوبة في إدراك أن قيمة الرقم تتغير بتغير مكانه، ويحتاج لدعم مباشر ونموذجا محلولا ليحاكيه لتحديد أي قيمة. | 
الأعداد حتى 99 | ممارسة التفكير الكمي والتجريدي | تفسير بنية الأعداد | يكتب العدد بالصورة الموسعةوالمختصرة (الرمزية) | يكتب عدد ضمن 99 بالصورة الموسعة والمختصرة. | يكتب الصورة الموسعة والمختصرة (الرمزية) لعدد ضمن 99 مستثمراً مفهوم القيمة المنزلية. ويوظفه في حل جمل مفتوحة بالشكل الصحيح على صور مثل: / 45 = 5 + ____ | يكتب الصورة الموسعة لعدد ضمن 99 مستثمراً مفهوم القيمة المنزلية  / ويجد صعوبة في توظيفها لحل جمل مفتوحة. | يحتاج الى دعم مباشر ونموذجا محلولا ليحاكيه لكتابة العدد بالصورة الموسعة أو العكس. | يحتاج الى دعم مباشر ونموذجا محلولا ليحاكيه لكتابة العدد بالصورة الموسعة أو العكس. | 
