كفايات الصف الأول- الرابع الأساسي 2026-2027
كفايات الصف الثاني الأساسي 2026-2027(تم تعديل جميع الاعمدة بحيث يكون اول عمودين مصادر والبقية أفعال)
[TABLE 1]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | نتاجات التعلم | مستوى الانجاز | مستوى الانجاز | مستوى الانجاز | القيم
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | نتاجات التعلم | يتقن | يطور | يحاول | القيم
الاعداد والعمليات عليها ضمن / (999) | ممارسة البحث عن البنية الرياضية /  /  /  /  / ممارسة التفكير الكمي والتجريدي | تحليل العلاقات بين الأعداد ضمن 999 | تحليل العلاقات بين الأعداد ضمن 999 | يربطبين العدد والكمية | - يربط بين عدد ضمن 999 وكميته | - يربط بين عدد ضمن 999 وكميته | يربط بين أي عدد ضمن 999 والكمية التي يمثلها (أو العكس) بشكل دقيق وبطلاقة وبجميع حالات تمثيل المجموعة التي يمكن أن تكون كل 100 عناصر منها برابط واحد | يربط بين العدد والكمية بشكل صحيح في الأعداد الصغيرة، ولكنه يتردد أو يخطئ عند التعامل مع بعض الأعداد خاصة في حالات تمثيل المجموعة التي يمكن أن تكون كل 100 عناصر منها برابط واحد | يواجه صعوبة في مطابقة العدد بالكمية المناسبة له، ويحتاج إلى توجيه مستمر ومساعدة مباشرة خاصة في المجموعات الأكبر (من 99). | حب الاستطلاع والتفكير الاستدلالي ،النظام والترتيب، الاعتماد على الذات، المثابرة وحب التعلم، التأمل، التنظيم وتحمل المسؤولية، المحافظة على البيئة ومواردها، الاعتزاز بالوطن والانتماء اليه
الاعداد والعمليات عليها ضمن / (999) | ممارسة البحث عن البنية الرياضية /  /  /  /  / ممارسة التفكير الكمي والتجريدي | تحليل العلاقات بين الأعداد ضمن 999 | تحليل العلاقات بين الأعداد ضمن 999 | يمثلالأعداد بالمحسوسات | -يمثل عدد ضمن 999 بالأشكال المحسوسةبالمحسوسات | -يمثل عدد ضمن 999 بالأشكال المحسوسةبالمحسوسات | يمثل أي عدد يسمعه ضمن 999 بالعناصرالمحسوسةبالمحسوسات بطلاقة ودون أي خطأ يُذكر ويقدم تفسيرا لما مثله بطلاقة | يمثل العدد الذي يسمعه ضمن 999 بالمحسوساتلكنه يفقد المثابرة في تمثيل العدد الأكبر من 50 مثلا ويجد صعوبة في تقديم تفسيرا واضحا لخطوات تمثيله. | يمثل العدد الذي يسمعه دون دقة وبعشوائية خاصة خلال تمثيل المجموعات التي عدد عناصرها أكبر منالاعداد الأكبر من 99 | 
الاعداد والعمليات عليها ضمن / (999) | ممارسة البحث عن البنية الرياضية /  /  /  /  / ممارسة التفكير الكمي والتجريدي | تحليل العلاقات بين الأعداد ضمن 999 | تحليل العلاقات بين الأعداد ضمن 999 | يقرأ الأعداد | -يقرأ اي عدد ضمن 999 بشكل صحيح | -يقرأ اي عدد ضمن 999 بشكل صحيح | يقرأ أي عدد يُعرض أمامه حتى 999 بشكل صحيح وبطلاقة دون الحاجة لتلميح أو مساعدة. | يقرأ الأعداد ولكنه يخطئ أحياناً في اتجاه القراءة (قلب العدد 423 ليقرأه 324). | يخفق في قراءة الأعداد المكونة من ثلاث منازل بمفرده، ويحتاج إلى إرشاد باستمرار فمثلا يقرأ العدد (810): 81 يهمل الصفر. / عندما تكون العشرات صفر (503) يقرؤها الطالب: ثلاثة وخمسون أو خمسمئة وثلاثون. | 
الاعداد والعمليات عليها ضمن / (999) | ممارسة البحث عن البنية الرياضية /  /  /  /  / ممارسة التفكير الكمي والتجريدي | تحليل العلاقات بين الأعداد ضمن 999 | تحليل العلاقات بين الأعداد ضمن 999 | يكتب الأعداد | يكتب أي عدد ضمن 999 بشكل صحيح | يكتب أي عدد ضمن 999 بشكل صحيح | يكتب أي عدد يُملى عليه حتى 999 بشكل صحيح، مراعياً الاتجاه الصحيح لكتابة الأعداد وموقع منزلة الآحاد والعشرات بدقة وبشكل مستقل. | يكتب الأعداد ولكنه يقع في أخطاء (ككتابة أرقامه معكوسة الاتجاه) أو يقلب ارقام المنازل عند الكتابة الغيبية (يكتب 35 1عندما يُملى عليه 531). | يواجه صعوبة في كتابة عدد يُملى عليه ويحتاج إلى النقل المباشر أو يخطئ في كتابة الأعداد كأن يقلب اتجاه بعض الأعداد. | 
الاعداد والعمليات عليها ضمن / (999) | ممارسة البحث عن البنية الرياضية /  /  /  /  / ممارسة التفكير الكمي والتجريدي | تحليل العلاقات بين الأعداد ضمن 999 | تحليل العلاقات بين الأعداد ضمن 999 | يمثل الأعداد بصور متعددة | -يمثل عدد ضمن 999 بصور مختلفة  / (معداد ،عيدان ، محسوسات) | -يمثل عدد ضمن 999 بصور مختلفة  / (معداد ،عيدان ، محسوسات) | يُمثّل العدد بأشكال ورسومات توضيحية متنوعة (كالتمثيل على لوحة المنازل، أو الأجسام الحسابية أو المعداد أو عيدان العد والحزم أو القطع النقدية أو الخرز، أو خط الأعداد) للعدد حتى 999 وبشكل صحيح. | يمثل العدد ولكنه يقع في أخطاء أو يحتاج لتوجيه في التمثيلات المجردة مثل التمثيل على خط الأعداد أو التمثيل بالمحسوس للأعداد التي تتطلب إعداد حزم العيدان وتشكيل المئات في الأجسام الحسابية لتمثيلها. | يمكنه التمثيل بالمحسوس خاصة للأعداد الأقل من 99، لكنه يحتاج إلى نموذجا ليقوم بتقليده في تمثيل الأعداد الأخرى، أو يقلب التمثيل لعدد من ثلاث منازل كأن يخلط بين تمثيل الأعداد 351 و 153 | 
الاعداد والعمليات عليها ضمن / (999) | ممارسة البحث عن البنية الرياضية /  /  /  /  / ممارسة التفكير الكمي والتجريدي | تحليل العلاقات بين الأعداد ضمن 999 | تحليل العلاقات بين الأعداد ضمن 999 | يحلل العدد إلى آحاد وعشرات ومئات | -يميز بين منزله الاحاد والعشرات والمئات على لوحة المنازل | -يميز بين منزله الاحاد والعشرات والمئات على لوحة المنازل | يحدد منزلة الآحاد والعشرات والمئات على لوحة المنازل ويحلل أي عدد ضمن 999 إلى الآحاد والعشرات والمئات بشكل صحيح ومستقل. | يحدد منزلة الآحاد والعشرات والمئات على لوحة المنازل ويمثل العدد عليها دون أخطاء لكنه يحتاج الى نموذج يوجهه حين الحاجة للتعبير عن الصورة المعكوسة مثل / ___ عشرات و __ آحاد و __ مئات | يواجه صعوبة في استيعاب وتفريق منزلة الآحاد عن العشرات من المئات، ويخلط في تمثيل الأعداد (فيضع رقم العشرات في خانة الآحاد أو المئات العكس) . | 
الاعداد والعمليات عليها ضمن / (999) | ممارسة البحث عن البنية الرياضية /  /  /  /  / ممارسة التفكير الكمي والتجريدي | تحليل العلاقات بين الأعداد ضمن 999 | تحليل العلاقات بين الأعداد ضمن 999 | يحدد قيمة الرقم حسب موقعه | - يحدد القيمة المنزلية لعدد ضمن 999 | - يحدد القيمة المنزلية لعدد ضمن 999 | يحدد القيمة المنزلية لأي رقم في العدد حتى 999 بشكل صحيح وبطلاقة ويمكنه التمثيل على ذلك من بيئتةوربطه في التمثيلات المختلفة له (العيدان، المعداد،..). | يحدد قيمة الرقم، ولكنه يخلط أحياناً بين القيمة المنزلية واسم المنزلة (مثلاً يكتب "مئات" بدلاً من "300") أو يتردد عند تحديد قيمة الرقم صفر. | يواجه صعوبة في إدراك أن قيمة الرقم تتغير بتغير مكانه، ويحتاج لدعم مباشر ونموذجا محلولا ليحاكيه لتحديد أي قيمة. | 
الاعداد والعمليات عليها ضمن / (999) | ممارسة البحث عن البنية الرياضية /  /  /  /  / ممارسة التفكير الكمي والتجريدي | تحليل العلاقات بين الأعداد ضمن 999 | تحليل العلاقات بين الأعداد ضمن 999 | يكتب العدد بالصورة الموسعة | -يكتب العدد ضمن 999 بالصورة الموسعة | -يكتب العدد ضمن 999 بالصورة الموسعة | يستثمر مفهوم القيمة المنزلية في كتابة الصورة الموسعة لعدد ضمن 999 بالشكل الصحيح أو العكس ويحل جمل مفتوحة على صور مثل / 452 =2 + 50 +____ | يستثمر مفهوم القيمة المنزلية في كتابة الصورة الموسعة لعدد ضمن 999 بالشكل الصحيح.. ويجد صعوبة في مستويات المهارة عليا مثل حل جمل مفتوحة على صور مثل / 452 =2 + 50 +____ | يحتاج الى دعم مباشر ونموذجا محلولا ليحاكيه لكتابة العدد بالصورة الموسعة أو العكس. | 
الاعداد والعمليات عليها ضمن / (999) | ممارسة البحث عن البنية الرياضية /  /  /  /  / ممارسة التفكير الكمي والتجريدي | تحليل العلاقات بين الأعداد ضمن 999 | تحليل العلاقات بين الأعداد ضمن 999 | يقارن بين الأعداد | يقارن بين عددين ضمن 999 | يقارن بين عددين ضمن 999 | يقارن بين أي عددين ضمن 999 بشكل صحيح ومستقل، ويحدد العدد الأكبر والأصغر أو الأعداد المتساوية بمفرده. كما يمكنه توظيف المقارنة في مواقف حياتية ويحاكيها. | يقارن بين الأعداد بشكل صحيح، ولكنه يتردد أو يخطئ أحياناً عندما تتشابه الأرقام في المنازل (مثل المقارنة بين 981 و 189). كما يجد صعوبة في توظيف المفهوم في مواقف حياتية. | يواجه صعوبة في المقارنة بين الأعداد ضمن 999، ويحتاج لدعم مستمر لتحديد أيهما أكبر. | 
الاعداد والعمليات عليها ضمن / (999) | ممارسة البحث عن البنية الرياضية /  /  /  /  / ممارسة التفكير الكمي والتجريدي | تحليل العلاقات بين الأعداد ضمن 999 | تحليل العلاقات بين الأعداد ضمن 999 | يرتب الأعداد | يرتب الاعداد تصاعديا ضمن 999 / -يرتب الاعداد تنازليا ضمن 999 | يرتب الاعداد تصاعديا ضمن 999 / -يرتب الاعداد تنازليا ضمن 999 | يرتّب مجموعة من 4 أعداد أو أكثر كل منها من ثلاث منازل ضمن 999 (تصاعدياً أو تنازلياً) بشكل صحيح ومنظم ويوظف الترتيب في مواقف حياتية ويحاكيها. | يرتّب الأعداد بشكل صحيح (3 أعداد أو أقل)، ولكنه يخطئ أو ينسى بعض الأعداد حين الترتيب لأكثر من 3 أعداد. | يواجه صعوبة في ترتيب الأعداد المكونة من ثلاث منازل ضمن999، مع إمكانية ترتيب 3 أعداد كل منها ضمن العدد 199. | 
