كفايات الصف الأول- الرابع الأساسي 2026-2027
كفايات الصف الرابع الأساسي 2026-2027
[TABLE 1]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | يتقن | يطور | يحاول | القيم
الأعداد و العمليات عليها | ممارسة التفكير الكمي والتجريدي | فهم بنية الأعداد الطبيعية | يفهم النظام العشري والقيمة المكانية للأعداد حتى الملايين /  /  / يكتب الاعداد ضمن سبع منازل بالكلمات والرموز | يُمثل الأعداد ضمن سبع منازل | يمثل الأعداد ضمن سبع منازل على لوحة المنازل والمجسمات الحسابية (شبه المحسوس) موضحا مكوناتها | يمثل الأعداد ضمن سبع منازل على لوحة المنازل والمجسمات الحسابية (شبه المحسوس) ويطور قدراته في توضيح مكوناتها | يمثل الأعداد ضمن9999 فقط. | الدقة والترتيب ، التأمل،المثابرة، الثقة بالنفس، التعاون، احترام آراء الآخرين، تنظيم الذات، التفكير التحليلي،حب الاستكشاف،المرونة في التعامل،تذوق الجمال الرياضي المنظم
الأعداد و العمليات عليها | ممارسة التفكير الكمي والتجريدي | فهم بنية الأعداد الطبيعية | يفهم النظام العشري والقيمة المكانية للأعداد حتى الملايين /  /  / يكتب الاعداد ضمن سبع منازل بالكلمات والرموز | يقرأ الأعداد حتى الملايين بصيغ مختلفة (لفظية، رقمية، موسعة) | يقرأالأعدادبصيغهاالثلاثبطلاقةودونتردد | يقرأالأعدادبصيغتينصحيحتين مخطئاً في الموسعة أو اللفظية | يقرأالأعدادبصيغةواحدةفقطأومعتمداعلىنطقالأرقاممنفردة. | 
الأعداد و العمليات عليها | ممارسة التفكير الكمي والتجريدي | فهم بنية الأعداد الطبيعية | يفهم النظام العشري والقيمة المكانية للأعداد حتى الملايين /  /  / يكتب الاعداد ضمن سبع منازل بالكلمات والرموز | يكتب الأعداد حتى الملايين بصيغ مختلفة (لفظية، رقمية، موسعة) | يكتبالأعدادبصيغهاالثلاثدونحذفأوإضافةمنازل | يكتبالأعدادبصيغتينمرتكباً خطأًفي كتابةالمنازلبالصيغةالموسعة | يكتبالأعدادبصيغةرقميةفقط مخطئاً في الصيغةاللفظيةوالموسعة | 
الأعداد و العمليات عليها | ممارسة التفكير الكمي والتجريدي | فهم بنية الأعداد الطبيعية | يفهم النظام العشري والقيمة المكانية للأعداد حتى الملايين /  /  / يكتب الاعداد ضمن سبع منازل بالكلمات والرموز | يحلل الأعداد إلى قيمها المكانية المختلفة | يحللالأعدادإلىمجموع قيمهاالمكانيةبالترتيبالصحيحمنالأعلىللأدنى | يحللبشكلصحيحلمعظمالمنازل مخطئاًفي الأعداد التي تحتوى أصفارا ضمن منازلها. | يحللمنازلالآحادوالعشراتفقطولايصلإلىالمنازلالأعلى | 
الأعداد و العمليات عليها | ممارسة التفكير الكمي والتجريدي | فهم بنية الأعداد الطبيعية | يفهم النظام العشري والقيمة المكانية للأعداد حتى الملايين /  /  / يكتب الاعداد ضمن سبع منازل بالكلمات والرموز | يربط بين التمثيل الرقمي والتمثيل الموسع | يحولبينالتمثيلينفيالاتجاهين(رقمي←موسع)و(موسع←رقمي)بدقة | يحولمنالرقميإلىالموسعبدقةلكنهيواجهصعوبةفيالاتجاهالعكسي | يحتاجإلىرسم لوحة المنازللإتمامالتحويلفيكلاالاتجاهين | 
الأعداد و العمليات عليها | ممارسة التفكير الكمي والتجريدي | المقارنة والتقدير العددي | يقارن الأعداد ضمن الملايين ويرتبها باستخدام استراتيجيات متعددة | يوظف إشارات التباين (>،<،=) للمقارنة بين عددين ضمن سبع منازل | يوظفمبدأالمنزلةالأعلىلاختيارالرمزالصحيحمبررااختيارهبجملةرياضية | يقارن بين عددين ضمن سبع منازل مستخدما إشارات التباين المناسبة في معظم الحالات، مع استمرار الحاجة إلى تعزيز تفسيره المبني على القيمة المنزلية. | يستخدم الرمز (=) عند مقارنة عددين متشابهين في الشكل، كما قد يعكس اتجاه رموز المقارنة(>،<) | التفكير المنطقي والدقة والموضوعية في المقارنة والترتيب،الدقة في الحكم، اتخاذ القرار السليم، المرونة في التعامل، تنظيم التفكير، الثقة بالنفس، المثابرة، احترام آراء الآخرين،تنظيم الذات
الأعداد و العمليات عليها | ممارسة التفكير الكمي والتجريدي | المقارنة والتقدير العددي | يقارن الأعداد ضمن الملايين ويرتبها باستخدام استراتيجيات متعددة | يرتب الأعداد تصاعدياً وتنازليا ضمن سبع منازل | يرتبستةأعدادأوأكثرتصاعدياًوتنازلياً دون أخطاء | يرتبأربعةأعدادبشكلصحيحمخطئاً في الأعداد التي عدد منازلها أكثر من خمس منازل | يرتبثلاثةأعداد ضمن المئات على الأكثر محتاجاإلىتذكيربخطوات المقارنة عند تساوي المنازل / وبالفرقبينالاتجاهين | 
الأعداد و العمليات عليها | ممارسة التفكير الكمي والتجريدي | المقارنة والتقدير العددي | يقارن الأعداد ضمن الملايين ويرتبها باستخدام استراتيجيات متعددة | يستخدم خط الأعداد لتوضيح المقارنة | يعين اعداداًمتعددةعلىخطالأعدادفيمواقعهاالصحيحةويقارن بينها | يوظف خط الأعداد للمقارنة بين عددين، محتاجا إلى دعم لتحديد مواقع الأعداد بدقة والاستناد إليها في تبرير المقارنة | يضعالعددالأصغردائماًعلىاليساردونمراعاةالمقياسالحقيقيلخطالأعداد | 
الأعداد و العمليات عليها | ممارسة التفكير الكمي والتجريدي | المقارنة والتقدير العددي | يوظف التقدير للتحقق من المعقولية | يقرّب الأعداد ضمن الملاين لأعلى منزلة) (أقرب عشرة، مئة، ألف ، عشرة آلاف، مئة ألف، مليون) | يقربالأعداد ضمن الملايين بدقة موضحاً خطوات حله | يقرب الأعداد ضمن الملايين لأعلى منزلة وقد يخطئ في الأعداد ذات المنازل المتساوية في القيمة | يقرّبالأعداد ضمن 3 منازل على الإكثر مخطئاً في الأعداد التي تحوي منازل متساوية في القيمة | 
الأعداد و العمليات عليها | ممارسة التفكير الكمي والتجريدي | المقارنة والتقدير العددي | يوظف التقدير للتحقق من المعقولية | يقدر ناتج عمليتي الجمع والطرح) قبل الحل | يقدر ( ناتج الجمع أو الطرح) بعد التقريبالمناسب مبررااختيارهلمنزلةالتقريببحسبطبيعةالعملية | يقدرالناتجبتقريبطرفواحدفقطويتركالطرفالآخردونتقريب، وقد يوظف التقريب بعد إجراء العملية (جمع أو طرح) | يُخطئ في تقدير الناتجدون استخدامالتقريب، أو أي إجراء آخر يوضح الحل. | 
